datetime = 28/07/2009 10:43:03, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 249.9984, results processing = 0, total execute = 406.2474
datetime = 27/07/2009 10:43:33, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 187.4988, results processing = 0, total execute = 187.4988
datetime = 28/07/2009 10:43:53, user = WSDEV\lnpair, redline size = 483306, summary = -1, original conversion = 7281.2034, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 874.9944, results processing = 0, total execute = 8187.4476
datetime = 27/07/2009 10:44:08, user = WSDEV\lnpair1, redline size = 358236, summary = -1, original conversion = 4109.3487, modified conversion = 4171.8483, original preprocess = 0, modified preprocess = 0, comparison execute = 593.7462, results processing = 0, total execute = 8890.5681
datetime = 28/07/2009 10:44:23, user = WSDEV\lnpair, redline size = 28374, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 734.3703, results processing = 0, total execute = 734.3703
datetime = 28/07/2009 10:44:45, user = WSDEV\lnpair1, redline size = 120837, summary = 45710, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 15.6249, total execute = 187.4988
datetime = 28/07/2009 10:44:52, user = WSDEV\lnpair, redline size = 120837, summary = 45710, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 187.4988, results processing = 0, total execute = 187.4988
datetime = 28/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 27/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 27/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 27/07/2009 10:45:04, user = WSDEV\lnpair1, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
datetime = 27/07/2009 10:45:04, user = WSDEV\lnpair, redline size = 120837, summary = -1, original conversion = 0, modified conversion = 0, original preprocess = 0, modified preprocess = 0, comparison execute = 171.8739, results processing = 0, total execute = 187.4988
